,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
215,"Alabama, Congressional District 7 (113th-117th)2013",0.23,,0.41,,,,,,,32800.0,,,,
216,"Alabama, Congressional District 7 (113th-117th)2014",0.22,,0.44,,,,,,,29500.0,,,,
217,"Alabama, Congressional District 7 (113th-117th)2015",0.19,,0.42,,,,,,,32700.0,,,,
218,"Alabama, Congressional District 7 (113th-117th)2016",0.21,,0.37,,,,,,,38100.0,,,,
219,"Alabama, Congressional District 7 (113th-117th)2017",0.16,,0.35,,,,,,,37900.0,,,,
220,"Alabama, Congressional District 7 (113th-117th)2018",0.18,,0.36,,,,,,,38900.0,,,,
221,"Alabama, Congressional District 7 (113th-117th)2019",0.19,,0.34,,,,,,,35000.0,,,,
222,"Alabama, Congressional District 7 (113th-117th)2021",0.18,,0.39,,,,,,,37700.0,,,,
223,"Alabama, Congressional District 7 (118th - current)2022",0.17,,0.31,,,,,,,54600.0,,,,
224,"Alabama, Congressional District 7 (118th - current)2023",0.18,,0.36,,,,,,,51700.0,,,,
225,"Alabama, Congressional District 7 (118th - current)2024",0.13,,0.25,,,,,,,65800.0,,,,
226,"Alabama, Congressional District 72005",,,0.44,,,,,,,,,,,
227,"Alabama, Congressional District 72006",0.18,,0.36,,,,,,,,,,,
228,"Alabama, Congressional District 72007",0.18,,0.37,,,,,,,,,,,
229,"Alabama, Congressional District 72008",0.15,,0.33,,,,,,,,,,,
230,"Alabama, Congressional District 72009",0.18,,0.37,,,,,,,,,,,
231,"Alabama, Congressional District 72010",0.19,,0.42,,,,,,,,,,,
232,"Alabama, Congressional District 72011",0.21,,0.43,,,,,,,33500.0,,,,
233,CA2000,0.08,,0.2,0.32,,,0.35,,,,,,,
234,CA2001,0.07,,0.18,0.31,,,0.35,,,,,,,
235,CA2002,0.07,,0.19,0.32,,,0.36,,,,,,,
236,CA2003,0.07,,0.19,0.3,,,0.35,,,,,,,
237,CA2004,0.08,,0.19,0.28,,,0.36,,,,,,,
238,CA2005,0.07,0.16,0.19,0.28,,0.51,0.36,,,56300.0,,,,
239,CA2006,0.07,,0.18,0.27,0.56,0.54,0.35,,,60200.0,,,,
240,CA2007,0.07,,0.17,0.26,0.55,0.55,0.35,0.06,,62000.0,0.04,,,
241,CA2008,0.07,0.17,0.18,0.26,0.54,0.55,,0.08,0.21,64200.0,0.06,0.08,0.13,0.17
242,CA2009,0.08,,0.2,0.28,0.52,0.54,,0.13,0.22,61000.0,0.1,0.08,0.15,0.2
243,CA2010,0.09,0.24,0.22,0.29,0.5,0.54,,0.13,0.22,59100.0,0.11,0.08,0.15,0.2
244,CA2011,0.1,,0.23,0.28,0.49,0.52,,0.13,0.23,59100.0,0.1,0.09,0.15,0.2
245,CA2012,0.1,,0.24,0.28,0.47,0.51,,0.11,0.24,60400.0,0.09,0.08,0.15,0.2
246,CA2013,0.1,0.27,0.23,0.28,0.47,0.48,,0.1,0.24,61400.0,0.08,0.08,0.14,0.18
247,CA2014,0.09,0.27,0.23,0.28,0.47,0.47,,0.08,0.24,64800.0,0.06,0.07,0.13,0.18
248,CA2015,0.09,0.27,0.21,0.28,0.47,0.45,,0.07,0.24,66400.0,0.05,0.07,0.12,0.17
249,CA2016,0.08,0.27,0.2,0.28,0.47,0.44,,0.06,0.23,71500.0,0.05,0.06,0.11,0.15
250,CA2017,0.07,0.25,0.18,0.28,0.49,0.43,,0.05,0.22,76900.0,0.04,0.07,0.11,0.15
251,CA2018,0.07,0.24,0.17,0.28,0.5,0.42,,0.05,0.21,81400.0,0.03,0.06,0.11,0.14
252,CA2019,0.06,0.21,0.16,0.28,0.5,0.41,,0.04,0.21,85300.0,0.03,0.06,0.1,0.14
253,CA2020,,,,,,,,0.11,,,0.08,,,
254,CA2021,0.07,0.27,0.16,0.27,0.53,0.4,,0.08,0.17,93600.0,0.06,0.07,0.12,0.17
255,CA2022,0.07,0.26,0.15,0.27,0.54,0.41,0.28,0.04,0.19,101700.0,0.03,0.06,0.11,0.15
256,CA2023,0.07,0.26,0.15,0.27,0.54,0.41,,0.05,0.19,104400.0,0.03,0.07,0.11,0.14
257,CA2024,0.07,0.26,0.15,,,,,0.05,,111700.0,0.04,,,
258,CO2000,0.03,,0.1,0.14,,,0.34,,,,,,,
259,CO2001,0.06,,0.13,0.1,,,0.27,,,,,,,
260,CO2002,0.05,,0.12,0.12,,,0.29,,,,,,,
261,CO2003,0.06,,0.13,0.1,,,0.31,,,,,,,
262,CO2004,0.07,,0.15,0.09,,,0.31,,,,,,,
263,CO2005,0.06,0.13,0.14,0.09,,0.38,0.31,,,58400.0,,,,
264,CO2006,0.07,,0.16,0.09,0.7,0.41,0.31,,,60800.0,,,,
265,CO2007,0.08,,0.16,0.1,0.68,0.4,0.31,0.04,,63800.0,0.03,,,
266,CO2008,0.05,0.12,0.15,0.1,0.66,0.38,,0.04,0.2,67000.0,0.03,0.08,0.11,0.13
267,CO2009,0.08,,0.17,0.11,0.66,0.38,,0.09,0.19,66000.0,0.06,0.08,0.13,0.17
268,CO2010,0.08,0.19,0.17,0.12,0.64,0.39,,0.11,0.19,63700.0,0.08,0.07,0.12,0.16
269,CO2011,0.08,,0.18,0.12,0.63,0.38,,0.09,0.19,64700.0,0.07,0.08,0.13,0.17
270,CO2012,0.08,,0.18,0.12,0.61,0.36,,0.08,0.2,65900.0,0.06,0.08,0.12,0.16
271,CO2013,0.07,0.21,0.17,0.11,0.62,0.34,,0.07,0.21,68100.0,0.05,0.06,0.11,0.15
272,CO2014,0.07,0.21,0.15,0.12,0.62,0.32,,0.04,0.21,72000.0,0.03,0.06,0.11,0.14
273,CO2015,0.06,0.19,0.15,0.12,0.63,0.31,,0.04,0.19,76600.0,0.03,0.07,0.11,0.13
274,CO2016,0.05,0.18,0.13,0.11,0.64,0.31,,0.03,0.19,78000.0,0.03,0.07,0.1,0.13
275,CO2017,0.05,0.16,0.12,0.12,0.65,0.31,,0.03,0.18,82900.0,0.02,0.05,0.09,0.11
276,CO2018,0.05,0.15,0.12,0.1,0.67,0.3,,0.03,0.18,87700.0,0.02,0.06,0.09,0.12
277,CO2019,0.05,0.16,0.11,0.11,0.68,0.3,,0.03,0.17,92500.0,0.02,0.05,0.09,0.11
278,CO2020,,,,,,,,0.07,,,0.06,,,
279,CO2021,0.06,0.19,0.12,0.1,0.71,0.3,,0.07,0.14,102300.0,0.05,0.07,0.11,0.14
280,CO2022,0.06,0.19,0.11,0.11,0.72,0.3,0.22,0.03,0.16,110400.0,0.02,0.06,0.09,0.11
281,CO2023,0.06,0.19,0.11,0.11,0.71,0.31,,0.03,0.15,118700.0,0.02,0.06,0.08,0.1
282,CO2024,0.06,0.18,0.11,,,,,0.05,,124700.0,0.03,,,
283,CT2000,0.04,,0.11,0.07,,,0.26,,,,,,,
284,CT2001,0.05,,0.1,0.07,,,0.25,,,,,,,
285,CT2002,0.05,,0.1,0.07,,,0.28,,,,,,,
286,CT2003,0.05,,0.11,0.06,,,0.28,,,,,,,
287,CT2004,0.06,,0.1,0.08,,,0.27,,,,,,,
288,CT2005,0.06,0.12,0.12,0.07,,0.38,0.29,,,76300.0,,,,
289,CT2006,0.05,,0.11,0.06,0.72,0.41,0.28,,,77800.0,,,,
290,CT2007,0.05,,0.11,0.07,0.73,0.41,0.29,0.05,,82200.0,0.03,,,
291,CT2008,0.06,0.13,0.12,0.07,0.71,0.42,,0.08,0.12,84300.0,0.05,0.06,0.09,0.13
292,CT2009,0.06,,0.12,0.08,0.7,0.41,,0.09,0.13,83100.0,0.06,0.06,0.11,0.15
293,CT2010,0.06,0.19,0.13,0.08,0.69,0.43,,0.1,0.13,80800.0,0.07,0.05,0.11,0.16
294,CT2011,0.07,,0.15,0.07,0.68,0.44,,0.1,0.15,81500.0,0.07,0.07,0.12,0.17
295,CT2012,0.07,,0.15,0.07,0.66,0.41,,0.09,0.14,85100.0,0.07,0.05,0.11,0.16
296,CT2013,0.07,0.22,0.15,0.07,0.65,0.38,,0.08,0.15,82400.0,0.06,0.05,0.11,0.16
297,CT2014,0.07,0.23,0.15,0.08,0.64,0.38,,0.08,0.16,87900.0,0.06,0.05,0.1,0.14
298,CT2015,0.07,0.21,0.15,0.08,0.65,0.37,,0.09,0.14,89900.0,0.06,0.05,0.1,0.14
299,CT2016,0.06,0.21,0.13,0.08,0.64,0.34,,0.06,0.16,92200.0,0.05,0.05,0.09,0.11
300,CT2017,0.06,0.19,0.13,0.09,0.66,0.35,,0.05,0.15,91100.0,0.03,0.05,0.1,0.14
301,CT2018,0.06,0.19,0.14,0.07,0.64,0.35,,0.06,0.16,93800.0,0.04,0.05,0.09,0.12
302,CT2019,0.06,0.2,0.14,0.07,0.65,0.34,,0.03,0.16,98300.0,0.02,0.04,0.08,0.12
303,CT2020,,,,,,,,0.08,,,0.06,,,
304,CT2021,0.07,0.23,0.13,0.09,0.67,0.31,,0.06,0.14,105000.0,0.05,0.04,0.09,0.12
305,CT2022,0.06,0.21,0.12,0.08,0.7,0.31,0.23,0.05,0.15,114200.0,0.03,0.05,0.1,0.14
306,CT2023,0.07,0.21,0.13,0.09,0.68,0.34,,0.03,0.17,112800.0,0.02,0.05,0.09,0.12
307,CT2024,0.07,0.2,0.13,,,,,0.03,,121600.0,0.02,,,
308,DE2000,0.02,,0.12,0.1,,,0.25,,,,,,,
309,DE2001,0.05,,0.14,0.07,,,0.26,,,,,,,
310,DE2002,0.06,,0.11,0.07,,,0.3,,,,,,,
311,DE2003,0.05,,0.12,0.07,,,0.29,,,,,,,
312,DE2004,0.07,,0.14,0.09,,,0.3,,,,,,,
313,DE2005,0.06,0.15,0.14,0.09,,0.32,0.29,,,61700.0,,,,
314,DE2006,0.07,,0.16,0.08,0.71,0.35,0.3,,,61200.0,,,,
315,DE2007,0.07,,0.15,0.08,0.68,0.39,0.31,0.03,,61700.0,0.03,,,
316,DE2008,0.05,0.18,0.14,0.07,0.71,0.39,,0.05,0.17,66500.0,0.04,0.09,0.11,0.13
317,DE2009,0.07,,0.16,0.08,0.69,0.41,,0.1,0.17,65400.0,0.07,0.08,0.12,0.16
318,DE2010,0.08,0.28,0.18,0.11,0.67,0.4,,0.09,0.18,64600.0,0.07,0.09,0.14,0.18
319,DE2011,0.09,,0.17,0.08,0.65,0.38,,0.08,0.21,63100.0,0.06,0.08,0.14,0.18
320,DE2012,0.08,,0.17,0.09,0.65,0.37,,0.08,0.21,69300.0,0.06,0.08,0.14,0.19
321,DE2013,0.09,0.32,0.18,0.11,0.65,0.35,,0.08,0.2,66300.0,0.06,0.06,0.14,0.2
322,DE2014,0.08,0.28,0.18,0.07,0.62,0.32,,0.06,0.19,71500.0,0.04,0.05,0.12,0.17
323,DE2015,0.08,0.3,0.19,0.12,0.63,0.32,,0.05,0.21,71600.0,0.04,0.08,0.11,0.14
324,DE2016,0.07,0.27,0.17,0.1,0.63,0.32,,0.03,0.2,70400.0,0.03,0.07,0.14,0.2
325,DE2017,0.07,0.27,0.18,0.07,0.65,0.29,,0.06,0.22,71000.0,0.04,0.06,0.12,0.18
326,DE2018,0.08,0.24,0.19,0.1,0.62,0.33,,0.04,0.21,74100.0,0.03,0.04,0.11,0.16
327,DE2019,0.06,0.25,0.16,0.11,0.64,0.28,,0.04,0.2,77200.0,0.04,0.06,0.1,0.14
328,DE2020,,,,,,,,0.08,,,0.06,,,
329,DE2021,0.08,0.28,0.17,0.09,0.69,0.31,,0.06,0.16,82100.0,0.05,0.05,0.08,0.1
330,DE2022,0.06,0.27,0.13,0.12,0.68,0.22,0.24,0.04,0.18,98000.0,0.03,0.03,0.08,0.13
331,DE2023,0.06,0.26,0.15,0.11,0.71,0.24,,0.04,0.18,101100.0,0.03,0.05,0.1,0.14
332,DE2024,0.07,0.22,0.13,,,,,0.05,,105100.0,0.03,,,
333,FL2000,0.08,,0.19,0.15,,,0.34,,,,,,,
334,FL2001,0.07,,0.17,0.15,,,0.31,,,,,,,
335,FL2002,0.08,,0.19,0.16,,,0.33,,,,,,,
336,FL2003,0.08,,0.19,0.15,,,0.33,,,,,,,
337,FL2004,0.08,,0.18,0.13,,,0.32,,,,,,,
338,FL2005,0.08,0.19,0.18,0.12,,0.42,0.33,,,49100.0,,,,
339,FL2006,0.07,,0.17,0.12,0.65,0.46,0.32,,,52200.0,,,,
340,FL2007,0.07,,0.17,0.12,0.64,0.49,0.32,0.05,,54000.0,0.04,,,
341,FL2008,0.07,0.17,0.18,0.12,0.63,0.49,,0.07,0.24,54400.0,0.05,0.1,0.15,0.19
342,FL2009,0.09,,0.21,0.12,0.61,0.5,,0.12,0.25,49800.0,0.09,0.11,0.16,0.2
343,FL2010,0.1,0.28,0.23,0.13,0.59,0.49,,0.12,0.25,49800.0,0.09,0.1,0.16,0.21
344,FL2011,0.11,,0.25,0.13,0.57,0.48,,0.11,0.26,49500.0,0.09,0.09,0.16,0.21
345,FL2012,0.11,,0.25,0.14,0.55,0.46,,0.1,0.27,49500.0,0.08,0.09,0.16,0.2
346,FL2013,0.11,0.33,0.24,0.14,0.54,0.42,,0.08,0.27,51100.0,0.06,0.09,0.15,0.2
347,FL2014,0.1,0.33,0.24,0.15,0.52,0.41,,0.07,0.28,51900.0,0.05,0.08,0.14,0.19
348,FL2015,0.1,0.33,0.23,0.14,0.53,0.4,,0.06,0.28,52900.0,0.04,0.08,0.13,0.17
349,FL2016,0.09,0.32,0.21,0.14,0.53,0.39,,0.05,0.27,56900.0,0.04,0.07,0.12,0.15
350,FL2017,0.09,0.31,0.2,0.14,0.55,0.38,,0.05,0.26,59300.0,0.04,0.07,0.12,0.15
351,FL2018,0.08,0.3,0.2,0.15,0.57,0.37,,0.04,0.26,62200.0,0.03,0.07,0.12,0.15
352,FL2019,0.08,0.27,0.18,0.14,0.58,0.36,,0.03,0.26,65800.0,0.03,0.07,0.11,0.14
353,FL2020,,,,,,,,0.09,,,0.07,,,
354,FL2021,0.08,0.3,0.18,0.14,0.62,0.36,,0.05,0.22,71300.0,0.04,0.07,0.12,0.16
355,FL2022,0.08,0.27,0.17,0.15,0.62,0.38,0.26,0.03,0.23,80400.0,0.02,0.07,0.11,0.15
356,FL2023,0.07,0.27,0.16,0.15,0.63,0.38,,0.03,0.23,85100.0,0.02,0.07,0.11,0.14
357,FL2024,0.07,0.25,0.15,,,,,0.03,,90300.0,0.03,,,
358,GA2000,0.09,,0.18,0.11,,,0.32,,,,,,,
359,GA2001,0.07,,0.16,0.11,,,0.29,,,,,,,
360,GA2002,0.08,,0.18,0.1,,,0.32,,,,,,,
361,GA2003,0.09,,0.19,0.11,,,0.31,,,,,,,
362,GA2004,0.1,,0.21,0.1,,,0.35,,,,,,,
363,GA2005,0.09,0.19,0.2,0.1,,0.35,0.34,,,51300.0,,,,
364,GA2006,0.09,,0.2,0.09,0.65,0.36,0.34,,,53600.0,,,,
365,GA2007,0.09,,0.2,0.1,0.65,0.37,0.33,0.06,,55900.0,0.04,,,
366,GA2008,0.09,0.2,0.2,0.11,0.64,0.37,,0.07,0.23,56800.0,0.06,0.11,0.16,0.21
367,GA2009,0.1,,0.22,0.1,0.63,0.39,,0.11,0.23,53700.0,0.09,0.12,0.17,0.22
368,GA2010,0.11,0.29,0.25,0.12,0.61,0.41,,0.12,0.24,51900.0,0.09,0.12,0.18,0.24
369,GA2011,0.12,,0.26,0.11,0.59,0.4,,0.11,0.25,51900.0,0.08,0.11,0.18,0.24
370,GA2012,0.13,,0.27,0.11,0.57,0.38,,0.1,0.26,53000.0,0.08,0.11,0.18,0.24
371,GA2013,0.12,0.33,0.27,0.11,0.57,0.36,,0.1,0.26,53100.0,0.07,0.1,0.16,0.22
372,GA2014,0.12,0.32,0.26,0.11,0.56,0.35,,0.08,0.26,54100.0,0.06,0.1,0.16,0.21
373,GA2015,0.11,0.31,0.24,0.11,0.54,0.33,,0.07,0.27,57000.0,0.05,0.09,0.15,0.2
374,GA2016,0.1,0.3,0.23,0.1,0.54,0.32,,0.06,0.24,62100.0,0.05,0.08,0.13,0.17
375,GA2017,0.09,0.27,0.21,0.1,0.58,0.3,,0.05,0.25,64700.0,0.04,0.08,0.13,0.17
376,GA2018,0.09,0.26,0.2,0.11,0.59,0.3,,0.05,0.25,66900.0,0.04,0.08,0.12,0.16
377,GA2019,0.08,0.24,0.19,0.1,0.6,0.28,,0.04,0.25,70800.0,0.03,0.08,0.13,0.17
378,GA2020,,,,,,,,0.07,,,0.05,,,
379,GA2021,0.1,0.27,0.2,0.09,0.63,0.29,,0.04,0.21,76400.0,0.03,0.08,0.13,0.17
380,GA2022,0.08,0.28,0.17,0.1,0.64,0.28,0.26,0.04,0.23,84100.0,0.03,0.07,0.12,0.15
381,GA2023,0.09,0.26,0.18,0.11,0.65,0.31,,0.04,0.23,87600.0,0.03,0.07,0.12,0.16
382,GA2024,0.08,0.22,0.16,,,,,0.03,,95200.0,0.02,,,
383,HI2000,0.06,,0.13,0.39,,,0.41,,,,,,,
384,HI2001,0.05,,0.14,0.35,,,0.33,,,,,,,
385,HI2002,0.07,,0.14,0.38,,,0.35,,,,,,,
386,HI2003,0.07,,0.15,0.35,,,0.33,,,,,,,
387,HI2004,0.06,,0.14,0.33,,,0.36,,,,,,,
388,HI2005,0.05,0.15,0.13,0.31,,0.37,0.34,,,62500.0,,,,
389,HI2006,0.06,,0.11,0.32,0.57,0.4,0.35,,,66200.0,,,,
390,HI2007,0.05,,0.1,0.3,0.55,0.43,0.32,0.03,,68700.0,0.02,,,
391,HI2008,0.05,0.14,0.1,0.27,0.54,0.47,,0.04,0.15,73100.0,0.03,0.09,0.12,0.14
392,HI2009,0.05,,0.14,0.28,0.53,0.49,,0.08,0.17,68900.0,0.07,0.12,0.13,0.15
393,HI2010,0.07,0.22,0.14,0.3,0.55,0.46,,0.1,0.17,73100.0,0.07,0.12,0.15,0.18
394,HI2011,0.09,,0.17,0.33,0.52,0.46,,0.1,0.18,64900.0,0.07,0.11,0.15,0.17
395,HI2012,0.08,,0.17,0.32,0.5,0.46,,0.07,0.19,71400.0,0.05,0.09,0.14,0.16
396,HI2013,0.06,0.26,0.13,0.31,0.49,0.43,,0.06,0.18,79700.0,0.04,0.1,0.13,0.14
397,HI2014,0.06,0.27,0.15,0.31,0.5,0.41,,0.04,0.18,71800.0,0.03,0.1,0.14,0.16
398,HI2015,0.07,0.27,0.14,0.34,0.5,0.38,,0.04,0.16,77900.0,0.03,0.06,0.11,0.14
399,HI2016,0.05,0.27,0.1,0.31,0.51,0.4,,0.04,0.17,80500.0,0.03,0.08,0.11,0.13
400,HI2017,0.06,0.23,0.12,0.33,0.52,0.36,,0.03,0.15,87100.0,0.02,0.09,0.11,0.12
401,HI2018,0.06,0.22,0.12,0.32,0.5,0.35,,0.03,0.15,89600.0,0.03,0.06,0.09,0.11
402,HI2019,0.06,0.23,0.12,0.31,0.56,0.38,,0.04,0.16,93300.0,0.02,0.1,0.11,0.12
403,HI2020,,,,,,,,0.14,,,0.11,,,
404,HI2021,0.06,0.29,0.14,0.29,0.57,0.39,,0.09,0.13,93900.0,0.06,0.1,0.13,0.15
405,HI2022,0.07,0.27,0.13,0.29,0.57,0.38,0.28,0.04,0.16,103000.0,0.03,0.07,0.1,0.13
406,HI2023,0.05,0.26,0.11,0.32,0.58,0.35,,0.04,0.15,112400.0,0.03,0.07,0.11,0.14
407,HI2024,0.08,0.26,0.12,,,,,0.03,,109900.0,0.02,,,
408,IA2000,0.05,,0.13,0.07,,,0.23,,,,,,,
409,IA2001,0.04,,0.13,0.07,,,0.24,,,,,,,
410,IA2002,0.05,,0.14,0.07,,,0.28,,,,,,,
411,IA2003,0.05,,0.12,0.05,,,0.26,,,,,,,
412,IA2004,0.05,,0.12,0.06,,,0.25,,,,,,,
413,IA2005,0.06,0.18,0.14,0.07,,0.25,0.26,,,55000.0,,,,
414,IA2006,0.06,,0.14,0.06,0.76,0.26,0.27,,,55500.0,,,,
415,IA2007,0.06,,0.14,0.07,0.77,0.25,0.27,0.04,,59300.0,0.03,,,
416,IA2008,0.06,0.18,0.14,0.07,0.77,0.25,,0.05,0.2,60600.0,0.03,0.04,0.07,0.09
417,IA2009,0.06,,0.16,0.07,0.75,0.25,,0.08,0.22,59300.0,0.05,0.06,0.09,0.11
418,IA2010,0.07,0.24,0.16,0.07,0.74,0.27,,0.07,0.21,59500.0,0.05,0.06,0.09,0.12
419,IA2011,0.08,,0.17,0.08,0.74,0.26,,0.06,0.22,61300.0,0.05,0.06,0.09,0.12
420,IA2012,0.06,,0.16,0.07,0.72,0.23,,0.06,0.22,62200.0,0.04,0.05,0.09,0.12
421,IA2013,0.07,0.26,0.16,0.08,0.72,0.22,,0.06,0.22,65300.0,0.04,0.05,0.08,0.11
422,IA2014,0.07,0.25,0.15,0.08,0.72,0.22,,0.06,0.22,66900.0,0.04,0.05,0.09,0.12
423,IA2015,0.07,0.23,0.15,0.07,0.72,0.21,,0.05,0.22,68700.0,0.03,0.05,0.08,0.11
424,IA2016,0.06,0.23,0.15,0.09,0.71,0.2,,0.05,0.2,72200.0,0.03,0.04,0.07,0.09
425,IA2017,0.05,0.21,0.12,0.09,0.74,0.19,,0.04,0.21,74900.0,0.03,0.05,0.08,0.1
426,IA2018,0.05,0.21,0.14,0.08,0.73,0.19,,0.04,0.21,76700.0,0.03,0.05,0.08,0.1
427,IA2019,0.05,0.2,0.13,0.09,0.72,0.2,,0.05,0.21,77900.0,0.03,0.07,0.09,0.1
428,IA2020,,,,,,,,0.07,,,0.05,,,
429,IA2021,0.05,0.21,0.13,0.07,0.78,0.2,,0.05,0.18,85700.0,0.03,0.04,0.08,0.1
430,IA2022,0.06,0.17,0.12,0.08,0.78,0.2,0.18,0.02,0.19,94200.0,0.01,0.04,0.07,0.1
431,IA2023,0.05,0.19,0.14,0.1,0.78,0.2,,0.03,0.2,94100.0,0.02,0.05,0.07,0.1
432,IA2024,0.07,0.18,0.14,,,,,0.04,,96800.0,0.02,,,
433,ID2000,0.05,,0.14,0.12,,,0.3,,,,,,,
434,ID2001,0.06,,0.15,0.15,,,0.33,,,,,,,
435,ID2002,0.06,,0.16,0.11,,,0.32,,,,,,,
436,ID2003,0.06,,0.18,0.13,,,0.35,,,,,,,
437,ID2004,0.06,,0.2,0.11,,,0.36,,,,,,,
438,ID2005,0.07,0.17,0.18,0.11,,0.3,0.33,,,46300.0,,,,
439,ID2006,0.06,,0.15,0.11,0.71,0.31,0.31,,,49300.0,,,,
440,ID2007,0.06,,0.16,0.1,0.71,0.33,0.32,0.03,,52600.0,0.02,,,
441,ID2008,0.07,0.17,0.16,0.09,0.69,0.34,,0.06,0.26,51700.0,0.05,0.08,0.12,0.15
442,ID2009,0.07,,0.18,0.11,0.69,0.36,,0.11,0.25,50000.0,0.09,0.09,0.16,0.21
443,ID2010,0.07,0.26,0.19,0.12,0.7,0.36,,0.1,0.28,50200.0,0.08,0.11,0.14,0.18
444,ID2011,0.09,,0.2,0.13,0.67,0.34,,0.08,0.27,50900.0,0.07,0.09,0.16,0.21
445,ID2012,0.08,,0.21,0.11,0.64,0.32,,0.07,0.29,50700.0,0.05,0.09,0.13,0.17
446,ID2013,0.07,0.28,0.19,0.13,0.64,0.28,,0.07,0.3,52300.0,0.05,0.08,0.14,0.19
447,ID2014,0.07,0.27,0.19,0.12,0.65,0.28,,0.04,0.3,55800.0,0.03,0.07,0.13,0.18
448,ID2015,0.06,0.27,0.18,0.12,0.66,0.25,,0.04,0.29,57300.0,0.03,0.07,0.12,0.17
449,ID2016,0.07,0.25,0.18,0.12,0.66,0.23,,0.04,0.27,60100.0,0.03,0.07,0.12,0.16
450,ID2017,0.06,0.2,0.15,0.11,0.69,0.24,,0.03,0.26,63200.0,0.02,0.06,0.12,0.18
